"Community","County","Region","Community Population (2010)","CEC Designation Status","Advanced (v3.0) Designation","Community Size","Points Achieved","List of Completed High Impact Actions","Count of Completed High Impact Actions"
"Town of Pierrepont","St. Lawrence","North Country","2,523","Designated CEC","","Small community","1,200","• Benchmarking - Municipal Buildings (100 points) - 4/18/2023 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 5/31/2022 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 10/28/2022 
 • Unified Solar Permit (200 points) - 2/23/2023","4"
"Town of Pine Plains","Dutchess","Mid-Hudson","2,218","Designated CEC","","Small community","1,000","• Clean Fleets (100 points) - 12/4/2018 
 • Energy Code Enforcement Training - V.1 (0 points) - 3/26/2019 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 3/26/2019 
 • Unified Solar Permit (200 points) - 6/11/2019","4"
"Town of Pitcairn","St. Lawrence","North Country","790","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 10/28/2022","1"
"Town of Pittsfield","Otsego","Mohawk Valley","1,312","Not Designated","","Small community","100","• Benchmarking - Municipal Buildings (100 points) - 7/13/2021","1"
"Town of Pittsford","Monroe","Finger Lakes","30,617","Designated CEC","","Medium community","2,100","• (Retired) Benchmarking - Advanced Reporting (200 points) - 7/19/2022 
 • Benchmarking - Municipal Buildings (100 points) - 6/1/2017 
 • Clean Fleets (100 points) - 10/16/2017 
 • Climate Smart Communities Certification - Bronze (600 points) - 9/20/2022 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 11/9/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 6/29/2017 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 3/8/2022 
 • Unified Solar Permit (200 points) - 8/24/2017","8"
"Town of Plattsburgh","Clinton","North Country","11,886","Designated CEC","1-Star","Medium community","1,300","• 50% Conversion of Cobra Head Streetlights (700 points) - 2/5/2024 
 • 50% Conversion of Decorative Streetlights (200 points) - 2/5/2024 
 • Benchmarking - Municipal Buildings (100 points) - 6/1/2017 
 • Clean Fleets (100 points) - 11/6/2018 
 • Energy Code Enforcement Training - V.1 (0 points) - 7/25/2017 
 • Solarize (0 points) - 6/1/2017 
 • Unified Solar Permit (200 points) - 7/25/2017","7"
"Town of Pleasant Valley","Dutchess","Mid-Hudson","9,799","Not Designated","","Medium community","800","• Climate Smart Communities Certification - Bronze (600 points) - 11/8/2022 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 5/5/2022","2"
"Town of Plymouth","Chenango","Southern Tier","1,619","Designated CEC","1-Star","Small community","1,500","• 50% Conversion of Cobra Head Streetlights (700 points) - 7/9/2024 
 • Benchmarking - Advanced Reporting (300 points) - 8/14/2024 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 9/10/2024 
 • Energy Code Enforcement Training (300 points) - 7/9/2024 
 • Municipal Clean Fleets Inventory (200 points) - 10/1/2024","5"
"Town of Poland","Chautauqua","Western New York","2,214","Designated CEC","","Small community","400","• Benchmarking - Municipal Buildings (100 points) - 11/14/2018 
 • Clean Fleets (100 points) - 1/10/2019 
 • Energy Code Enforcement Training - V.1 (0 points) - 1/10/2019 
 • Unified Solar Permit (200 points) - 11/14/2018","4"
"Town of Pomfret","Chautauqua","Western New York","13,035","Designated CEC","","Medium community","400","• Benchmarking - Municipal Buildings (100 points) - 1/15/2019 
 • Clean Fleets (100 points) - 3/26/2019 
 • Energy Code Enforcement Training - V.1 (0 points) - 12/18/2018 
 • Unified Solar Permit (200 points) - 1/29/2019","4"
"Town of Pompey","Onondaga","Central New York","7,080","Designated CEC","2-Star","Medium community","3,100","• (Retired) Benchmarking - Advanced Reporting (200 points) - 6/8/2021 
 • Benchmarking - Municipal Buildings (100 points) - 12/8/2020 
 • Clean Energy Upgrades (500 points) - 2/23/2023 
 • Community Campaigns - Clean Heating and Cooling (500 points) - 12/9/2022 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/11/2022 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 8/3/2021 
 • Municipal Building Demos: Clean Heating and Cooling - Tier 1 (700 points) - 6/11/2024 
 • Unified Solar Permit (200 points) - 8/17/2021","8"
"Town of Portage","Livingston","Finger Lakes","763","Not Designated","","Small community","500","• Benchmarking - Advanced Reporting (300 points) - 7/16/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 5/17/2023","2"
"Town of Porter","Niagara","Western New York","6,513","Designated CEC","2-Star","Medium community","3,300","• (Retired) Benchmarking - Advanced Reporting (200 points) - 10/11/2023 
 • Benchmarking - Municipal Buildings (100 points) - 10/28/2022 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 5/10/2024 
 • Clean Energy Upgrades (500 points) - 7/30/2019 
 • Clean Fleets (100 points) - 7/16/2019 
 • Climate Smart Communities Certification - Bronze CSC Certification (800 points) - 4/10/2024 
 • Community Campaigns - Community Solar - Tier 1 (200 points) - 4/10/2024 
 • Community Campaigns - Community Solar - Tier 2 (300 points) - 4/10/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/5/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 7/27/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 8/11/2020 
 • Unified Solar Permit (200 points) - 10/2/2018","12"
"Town of Portville","Cattaraugus","Western New York","3,504","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 12/1/2021","1"
"Town of Potsdam","St. Lawrence","North Country","14,901","Designated CEC","1-Star","Medium community","2,800","• Benchmarking - Municipal Buildings (100 points) - 10/26/2018 
 • Climate Smart Communities Certification - Bronze (600 points) - 10/20/2021 
 • Climate Smart Communities Recertification - Bronze CSC Recertification (800 points) - 7/23/2024 
 • Community Campaigns - Community Solar - Tier 1 (200 points) - 9/17/2024 
 • Energy Code Enforcement Training - V.1 (0 points) - 10/26/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 4/27/2021 
 • Municipal Clean Fleets Inventory (200 points) - 3/26/2024 
 • Unified Solar Permit (200 points) - 10/26/2018","8"
"Town of Potter","Yates","Finger Lakes","1,858","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 12/1/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/19/2019","2"
"Town of Poughkeepsie","Dutchess","Mid-Hudson","45,471","Designated CEC","1-Star","Large community","2,600","• 50% Conversion of Decorative Streetlights (200 points) - 2/13/2024 
 • Climate Smart Communities Certification - Bronze (600 points) - 10/12/2021 
 • Community Campaigns - Clean Heating and Cooling - Tier 1 (500 points) - 7/2/2024 
 • Community Campaigns - Community Solar (200 points) - 3/18/2022 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/20/2022 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 7/27/2021 
 • Unified Solar Permit (200 points) - 7/13/2021","7"
"Town of Pound Ridge","Westchester","Mid-Hudson","5,082","Designated CEC","","Medium community","3,100","• Benchmarking - Municipal Buildings (100 points) - 4/18/2019 
 • Clean Fleets - Charging Stations (200 points) - 11/16/2022 
 • Climate Smart Communities Certification - Bronze (600 points) - 3/30/2021 
 • Community Campaigns - Clean Heating and Cooling (500 points) - 9/6/2022 
 • Community Choice Aggregation - 100% Renewable Default Supply (1500 points) - 3/30/2021 
 • Community Choice Aggregation - Expired Version (0 points) - 1/10/2019 
 • Energize NY Finance (0 points) - 7/25/2017 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/18/2019 
 • LED Street Lights - Decorative Fixtures (200 points) - 11/16/2022 
 • Solarize (0 points) - 7/25/2017","10"
"Town of Preble","Cortland","Central New York","1,357","Not Designated","","Small community","700","• 50% Conversion of Cobra Head Streetlights (700 points) - 3/26/2024 
 • Energy Code Enforcement Training - V.1 (0 points) - 10/26/2018","2"
"Town of Putnam Valley","Putnam","Mid-Hudson","11,762","Designated CEC","","Medium community","1,300","• Community Campaigns - Community Solar (200 points) - 9/17/2021 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 4/19/2022 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 2/9/2021 
 • Unified Solar Permit (200 points) - 5/3/2023","4"
"Town of Queensbury","Warren","Capital Region","29,169","Designated CEC","3-Star","Medium community","5,300","• 50% Conversion of Cobra Head Streetlights (700 points) - 7/30/2024 
 • (Retired) Benchmarking - Advanced Reporting (200 points) - 5/4/2021 
 • Benchmarking - Municipal Buildings (100 points) - 10/24/2017 
 • Clean Fleets (100 points) - 2/27/2018 
 • Climate Smart Communities Certification - Bronze (600 points) - 11/3/2021 
 • Community Campaigns - Clean Heating and Cooling - Tier 1 (500 points) - 8/6/2024 
 • Community Campaigns - Clean Heating and Cooling - Tier 2 (600 points) - 8/13/2024 
 • Community Campaigns - Clean Heating and Cooling - Tier 3 (700 points) - 10/2/2024 
 • Community Campaigns - Community Solar (200 points) - 10/26/2021 
 • Community Campaigns - Electric Vehicles (200 points) - 10/20/2021 
 • Community Campaigns - Electric Vehicles - Tier 2 (300 points) - 9/30/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 11/9/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 1/2/2018 
 • LED Street Lights - Decorative Fixtures (200 points) - 5/25/2021 
 • Light-Duty Electric Vehicles - Tier 1 (300 points) - 10/1/2024 
 • Municipal Clean Fleets Inventory (200 points) - 7/30/2024 
 • Unified Solar Permit (200 points) - 10/24/2017","17"
"Town of Randolph","Cattaraugus","Western New York","2,469","Designated CEC","1-Star","Small community","1,200","• Benchmarking - Municipal Buildings (100 points) - 2/27/2018 
 • Energy Code Enforcement Training - V.1 (0 points) - 3/20/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 2/9/2021 
 • Municipal Clean Fleets Inventory (200 points) - 4/10/2024 
 • Unified Solar Permit (200 points) - 2/27/2018","5"
"Town of Reading","Schuyler","Southern Tier","1,719","Designated CEC","1-Star","Small community","1,200","• 50% Conversion of Cobra Head Streetlights (700 points) - 11/5/2024 
 • Benchmarking - Municipal Buildings (100 points) - 7/30/2019 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/13/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 3/3/2020 
 • Unified Solar Permit (200 points) - 11/1/2023","5"
"Town of Red Hook","Dutchess","Mid-Hudson","9,953","Designated CEC","4-Star","Medium community","7,100","• Benchmarking - Municipal Buildings (100 points) - 1/12/2017 
 • CCA - 100% Renewable Default Supply (1500 points) - 3/26/2024 
 • CCA >= 50% and < 100% Renewable Default Supply Mix with 100% Opt-up Option (500 points) - 3/19/2024 
 • CDG Subscription (300 points) - 3/19/2024 
 • Clean Fleets (100 points) - 10/16/2017 
 • Clean Fleets - Charging Stations (200 points) - 7/3/2023 
 • Climate Smart Communities Certification - Bronze (600 points) - 10/8/2019 
 • Community Campaigns - Electric Vehicles - Tier 1 (200 points) - 6/26/2024 
 • Community Choice Aggregation - 100% Renewable Default Supply (1500 points) - 7/6/2021 
 • DC Fast Charging Stations - Tier 1 (500 points) - 3/19/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 11/16/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 1/31/2017 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 7/7/2021 
 • Light-Duty Electric Vehicles - Tier 1 (300 points) - 3/19/2024 
 • Municipal Clean Fleets Inventory (200 points) - 4/10/2024 
 • Solarize (0 points) - 1/12/2017 
 • Unified Solar Permit (200 points) - 10/28/2016","17"
"Town of Redfield","Oswego","Central New York","476","Designated CEC","","Small community","1,100","• Energy Code Enforcement Training - Leadership Round (200 points) - 7/5/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 10/24/2017 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 9/5/2023 
 • Unified Solar Permit (200 points) - 11/21/2017","4"
"Town of Rensselaerville","Albany","Capital Region","1,826","Designated CEC","","Small community","1,000","• Benchmarking - Municipal Buildings (100 points) - 3/18/2022 
 • Clean Energy Upgrades (500 points) - 6/7/2022 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 3/8/2022 
 • Unified Solar Permit (200 points) - 8/23/2022","4"
"Town of Rhinebeck","Dutchess","Mid-Hudson","7,596","Designated CEC","3-Star","Medium community","5,300","• CCA - 100% Renewable Default Supply (1500 points) - 6/4/2024 
 • CCA >= 50% and < 100% Renewable Default Supply Mix with 100% Opt-up Option (500 points) - 6/4/2024 
 • Clean Fleets (100 points) - 1/10/2019 
 • Climate Smart Communities Certification - Bronze (600 points) - 11/1/2023 
 • Community Campaigns - Electric Vehicles (200 points) - 12/13/2023 
 • Community Choice Aggregation - 100% Renewable Default Supply (1500 points) - 5/3/2023 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 4/18/2023 
 • Unified Solar Permit (200 points) - 1/25/2023","8"
"Town of Richfield","Otsego","Mohawk Valley","2,065","Not Designated","","Small community","700","• LED Street Lights - Cobra Head Fixtures (700 points) - 7/19/2022","1"
"Town of Richford","Tioga","Southern Tier","1,043","Designated CEC","1-Star","Small community","1,600","• (Retired) Benchmarking - Advanced Reporting (200 points) - 3/23/2021 
 • Benchmarking - Municipal Buildings (100 points) - 3/2/2021 
 • Electric Landscaping Equipment (200 points) - 5/10/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 7/5/2023 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 3/9/2021 
 • Unified Solar Permit (200 points) - 3/2/2021","6"
"Town of Richland","Oswego","Central New York","5,637","Designated CEC","2-Star","Medium community","3,800","• (Retired) Benchmarking - Advanced Reporting (200 points) - 3/2/2021 
 • Benchmarking - Municipal Buildings (100 points) - 1/24/2017 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 6/4/2024 
 • Clean Energy Upgrades (500 points) - 9/20/2022 
 • Climate Smart Communities Certification - Bronze (600 points) - 3/18/2022 
 • Climate Smart Communities Recertification - Bronze CSC Recertification (800 points) - 6/18/2024 
 • Community Campaigns - Clean Heating and Cooling - Tier 1 (500 points) - 11/5/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/8/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 6/20/2017 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 6/1/2017 
 • Unified Solar Permit (200 points) - 1/24/2017","11"
"Town of Richmond","Ontario","Finger Lakes","3,360","Designated CEC","1-Star","Small community","1,700","• Benchmarking - Advanced Reporting (300 points) - 8/13/2024 
 • Benchmarking - Municipal Buildings (100 points) - 9/21/2023 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 9/6/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 3/11/2019 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 8/17/2023 
 • Municipal Clean Fleets Inventory (200 points) - 1/2/2024 
 • Unified Solar Permit (200 points) - 3/11/2019","7"
"Town of Riga","Monroe","Finger Lakes","5,586","Not Designated","","Medium community","200","• Energy Code Enforcement Training - V.1 (0 points) - 7/11/2017 
 • Unified Solar Permit (200 points) - 6/29/2017","2"
"Town of Riverhead","Suffolk","Long Island","35,902","Designated CEC","","Medium community","1,600","• (Retired) Benchmarking - Advanced Reporting (200 points) - 6/28/2022 
 • Benchmarking - Municipal Buildings (100 points) - 3/6/2018 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 4/18/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 12/19/2017 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 7/28/2020 
 • LED Street Lights - Decorative Fixtures (200 points) - 4/19/2021 
 • Unified Solar Permit (200 points) - 12/12/2016","7"
"Town of Rochester","Ulster","Mid-Hudson","7,272","Not Designated","","Medium community","0","• Energy Code Enforcement Training - V.1 (0 points) - 7/27/2018","1"
"Town of Rockland","Sullivan","Mid-Hudson","3,290","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 10/28/2022","1"
"Town of Roseboom","Otsego","Mohawk Valley","690","Designated CEC","3-Star","Small community","5,200","• Benchmarking - Advanced Reporting (300 points) - 2/13/2024 
 • Benchmarking - Municipal Buildings (100 points) - 12/4/2018 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 3/19/2024 
 • CDG Subscription (300 points) - 5/21/2024 
 • Clean Energy Generation Installation Owned by Municipality Tier 1 (600 points) - 2/5/2024 
 • Clean Energy Upgrades (500 points) - 6/13/2023 
 • Climate Smart Communities Certification - Bronze (600 points) - 3/29/2022 
 • Climate Smart Communities Recertification - Bronze CSC Recertification (800 points) - 10/1/2024 
 • Community Campaigns - Community Solar - Tier 1 (200 points) - 11/5/2024 
 • Electric Landscaping Equipment (200 points) - 7/9/2024 
 • Energy Code Enforcement Training - V.1 (0 points) - 5/14/2019 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 11/6/2018 
 • Level 2 Charging Stations - Tier 1 (200 points) - 7/9/2024 
 • Light-Duty Electric Vehicles - Tier 1 (300 points) - 7/23/2024 
 • Municipal Clean Fleets Inventory (200 points) - 1/2/2024 
 • Unified Solar Permit (200 points) - 11/6/2018","16"
"Town of Rosendale","Ulster","Mid-Hudson","5,782","Designated CEC","3-Star","Medium community","5,600","• Benchmarking - Advanced Reporting (300 points) - 6/4/2024 
 • Benchmarking - Municipal Buildings (100 points) - 11/23/2016 
 • Build Ready - Site Nomination (100 points) - 4/9/2024 
 • CDG Subscription (300 points) - 8/20/2024 
 • Clean Fleets (100 points) - 2/23/2017 
 • Climate Smart Communities Certification - Bronze CSC Certification (800 points) - 12/21/2023 
 • Community Campaigns - Clean Heating and Cooling - Tier 1 (500 points) - 5/21/2024 
 • Community Campaigns - Clean Heating and Cooling - Tier 2 (600 points) - 7/23/2024 
 • Community Campaigns - Clean Heating and Cooling - Tier 3 (700 points) - 9/3/2024 
 • Community Campaigns - Community Solar - Tier 1 (200 points) - 8/13/2024 
 • Community Campaigns - Electric Vehicles - Tier 1 (200 points) - 3/26/2024 
 • Community Campaigns - Electric Vehicles - Tier 2 (300 points) - 7/9/2024 
 • Energy Code Enforcement Training - V.1 (0 points) - 3/17/2017 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 3/15/2023 
 • Light-Duty Electric Vehicles - Tier 1 (300 points) - 11/13/2024 
 • Municipal Clean Fleets Inventory (200 points) - 2/6/2024 
 • Unified Solar Permit (200 points) - 11/9/2016","17"
"Town of Roxbury","Delaware","Southern Tier","2,247","Not Designated","","Small community","0","• Energy Code Enforcement Training - V.1 (0 points) - 4/18/2019","1"
"Town of Rush","Monroe","Finger Lakes","3,490","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 12/1/2021","1"
"Town of Rushford","Allegany","Western New York","1,079","Designated CEC","","Small community","600","• Benchmarking - Municipal Buildings (100 points) - 5/29/2018 
 • Clean Fleets (100 points) - 5/10/2018 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/20/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/10/2018 
 • Unified Solar Permit (200 points) - 4/26/2018","5"
"Town of Rye","Westchester","Mid-Hudson","49,613","Not Designated","","Large community","400","• Community Campaigns - Demand Response (200 points) - 5/18/2021 
 • Property Assessed Clean Energy (PACE) Financing - Authorize Open C-PACE Locally (200 points) - 3/24/2021","2"
"Town of Salem","Washington","Capital Region","2,612","Not Designated","1-Star","Small community","1,000","• 50% Conversion of Cobra Head Streetlights (700 points) - 5/28/2024 
 • CDG Subscription (300 points) - 8/13/2024","2"
"Town of Salina","Onondaga","Central New York","33,223","Designated CEC","","Medium community","1,400","• Benchmarking - Municipal Buildings (100 points) - 5/21/2019 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/1/2021 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 11/16/2021 
 • LED Street Lights - Decorative Fixtures (200 points) - 11/16/2021 
 • Unified Solar Permit (200 points) - 6/11/2019","5"
"Town of Salisbury","Herkimer","Mohawk Valley","1,830","Not Designated","","Small community","700","• 50% Conversion of Cobra Head Streetlights (700 points) - 9/10/2024 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/10/2018","2"
"Town of Sand Lake","Rensselaer","Capital Region","8,348","Not Designated","","Medium community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 10/11/2023","1"
"Town of Sandy Creek","Oswego","Central New York","3,813","Designated CEC","","Small community","500","• Benchmarking - Municipal Buildings (100 points) - 11/21/2023 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/15/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 10/24/2017 
 • Unified Solar Permit (200 points) - 11/21/2017","4"
"Town of Santa Clara","Franklin","North Country","332","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 11/16/2022","1"
"Town of Saranac","Clinton","North Country","3,852","Designated CEC","1-Star","Small community","1,500","• (Retired) Benchmarking - Advanced Reporting (200 points) - 1/18/2022 
 • Benchmarking - Municipal Buildings (100 points) - 7/13/2021 
 • Build Ready - Site Nomination (100 points) - 6/26/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/26/2021 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 7/7/2021 
 • Unified Solar Permit (200 points) - 7/27/2021","6"
"Town of Saratoga","Saratoga","Capital Region","5,808","Designated CEC","1-Star","Medium community","1,300","• 50% Conversion of Cobra Head Streetlights (700 points) - 3/19/2024 
 • Benchmarking - Advanced Reporting (300 points) - 5/21/2024 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 5/21/2024 
 • Energy Code Enforcement Training (300 points) - 3/5/2024","4"
"Town of Saugerties","Ulster","Mid-Hudson","19,038","Designated CEC","3-Star","Medium community","6,200","• Benchmarking - Municipal Buildings (100 points) - 10/5/2021 
 • CCA >= 50% and < 100% Renewable Default Supply Mix with 100% Opt-up Option (500 points) - 3/5/2024 
 • CDG Subscription (300 points) - 3/19/2024 
 • Clean Fleets (100 points) - 7/27/2018 
 • Climate Smart Communities Certification - Bronze (600 points) - 12/8/2020 
 • Climate Smart Communities Certification - Bronze CSC Certification (800 points) - 4/10/2024 
 • Community Campaigns - Community Solar (200 points) - 1/4/2022 
 • Community Choice Aggregation - 100% Renewable Default Supply (1500 points) - 7/27/2021 
 • Energy Code Enforcement Training (300 points) - 6/11/2024 
 • Energy Code Enforcement Training - V.1 (0 points) - 7/27/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 3/24/2021 
 • Light-Duty Non-Road Vehicles (200 points) - 6/4/2024 
 • Medium/Heavy-Duty Non-Road Vehicles (700 points) - 6/4/2024 
 • Solarize (0 points) - 1/31/2017 
 • Unified Solar Permit (200 points) - 6/6/2017","15"
"Town of Savannah","Wayne","Finger Lakes","1,632","Not Designated","","Small community","400","• Municipal Clean Fleets Inventory (200 points) - 12/21/2023 
 • Unified Solar Permit (200 points) - 7/11/2017","2"
"Town of Schoharie","Schoharie","Mohawk Valley","3,107","Not Designated","","Small community","100","• Benchmarking - Municipal Buildings (100 points) - 3/28/2017 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/26/2018","2"
"Town of Schroon","Essex","North Country","1,880","Designated CEC","","Small community","1,200","• Benchmarking - Municipal Buildings (100 points) - 10/20/2021 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/26/2021 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 10/20/2021 
 • Unified Solar Permit (200 points) - 10/20/2021","4"
"Town of Schuyler Falls","Clinton","North Country","4,843","Designated CEC","1-Star","Small community","1,700","• Benchmarking - Advanced Reporting (300 points) - 8/20/2024 
 • Benchmarking - Municipal Buildings (100 points) - 11/23/2021 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 8/20/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 11/16/2021 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 6/8/2021 
 • LED Street Lights - Decorative Fixtures (200 points) - 5/26/2022 
 • Unified Solar Permit (200 points) - 11/23/2021","7"
"Town of Scio","Allegany","Western New York","1,614","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 10/20/2021","1"
"Town of Scipio","Cayuga","Central New York","1,531","Designated CEC","1-Star","Small community","1,100","• (Retired) Benchmarking - Advanced Reporting (200 points) - 7/3/2023 
 • Benchmarking - Municipal Buildings (100 points) - 4/18/2023 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 5/10/2024 
 • Community Campaigns - Community Solar - Tier 1 (200 points) - 5/10/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/1/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/10/2018 
 • Municipal Clean Fleets Inventory (200 points) - 5/10/2024 
 • Unified Solar Permit (200 points) - 4/18/2023","8"
"Town of Scott","Cortland","Central New York","1,077","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 10/28/2022","1"
"Town of Scriba","Oswego","Central New York","6,617","Not Designated","","Medium community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 6/14/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/26/2018","2"
"Town of Seneca Falls","Seneca","Finger Lakes","9,027","Designated CEC","1-Star","Medium community","1,400","• (Retired) Benchmarking - Advanced Reporting (200 points) - 8/1/2022 
 • Benchmarking - Municipal Buildings (100 points) - 5/5/2022 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 3/29/2022 
 • Municipal Clean Fleets Inventory (200 points) - 9/17/2024 
 • Unified Solar Permit (200 points) - 5/26/2022","5"
"Town of Sennett","Cayuga","Central New York","3,304","Not Designated","","Small community","900","• LED Street Lights - Cobra Head Fixtures (700 points) - 8/1/2022 
 • Unified Solar Permit (200 points) - 10/24/2017","2"
"Town of Shandaken","Ulster","Mid-Hudson","2,866","Designated CEC","2-Star","Small community","4,000","• Climate Smart Communities Certification - Bronze (600 points) - 11/1/2023 
 • Community Campaigns - Clean Heating and Cooling - Tier 1 (500 points) - 7/9/2024 
 • Community Campaigns - Clean Heating and Cooling - Tier 2 (600 points) - 10/1/2024 
 • Community Campaigns - Clean Heating and Cooling - Tier 3 (700 points) - 10/15/2024 
 • Community Campaigns - Electric Vehicles - Tier 1 (200 points) - 6/11/2024 
 • Community Campaigns - Electric Vehicles - Tier 2 (300 points) - 10/15/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 3/31/2023 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 6/7/2022 
 • Municipal Clean Fleets Inventory (200 points) - 2/6/2024","9"
"Town of Shawangunk","Ulster","Mid-Hudson","13,563","Not Designated","","Medium community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 11/16/2022","1"
"Town of Shelter Island","Suffolk","Long Island","3,253","Designated CEC","","Small community","400","• Benchmarking - Municipal Buildings (100 points) - 4/24/2017 
 • Clean Fleets (100 points) - 1/16/2018 
 • Energy Code Enforcement Training - V.1 (0 points) - 5/10/2017 
 • Unified Solar Permit (200 points) - 11/23/2016","4"
"Town of Sherman","Chautauqua","Western New York","1,622","Not Designated","","Small community","0","• Energy Code Enforcement Training - V.1 (0 points) - 1/30/2018","1"
